============================================================
CICERO PAIRS - WINDOW SIZE 4
============================================================

Pair                           | Count
('parum', 'video')             |     6
('greek.expression', 'hic')    |     6
('ago', 'modo')                |     6
('littera', 'valde')           |     6
('non', 'valde')               |     6
('idus', 'maias')              |     6
('epistula', 'reddo')          |     6
('epistula', 'nunc')           |     6
('diligenter', 'res')          |     6
('modo', 'scribo')             |     6
('commode', 'possum')          |     6
('quidem', 'scribo')           |     6
('non', 'probo')               |     6
('ago', 'reliquus')            |     6
('etiam', 'tamen')             |     6
('amo', 'scio')                |     6
('do', 'eo')                   |     6
('littera', 'significo')       |     6
('lego', 'scribo')             |     6
('plane', 'scribo')            |     6
('greek.expression', 'quasi')  |     6
('curo', 'habeo')              |     6
('delecto', 'res')             |     6
('ne', 'negotium')             |     6
('non', 'significo')           |     6
('sane', 'volo')               |     6
('tamen', 'tempus')            |     6
('ago', 'senatus')             |     6
('dies', 'roma')               |     6
('non', 'reddo')               |     6
('etiam', 'licet')             |     6
('prosum', 'res')              |     6
('prosum', 'publicus')         |     6
('tamen', 'ut')                |     6
('ago', 'caesar')              |     6
('exspecto', 'tamen')          |     6
('nuntio', 'scribo')           |     6
('enim', 'negotium')           |     6
('epistula', 'video')          |     6
('dico', 'nam')                |     6
('etenim', 'greek.expression') |     6
('ceterus', 'greek.expression') |     6
('caesar', 'res')              |     6
('greek.expression', 'liber')  |     6
('dico', 'quidem')             |     6
('dico', 'licet')              |     6
('greek.expression', 'quare')  |     6
('epistula', 'facio')          |     6
('quam', 'quidem')             |     6
('non', 'postulo')             |     6
('plane', 'video')             |     6
('do', 'pecunia')              |     6
('accedo', 'etiam')            |     6
('enim', 'fero')               |     6
('dies', 'video')              |     6
('etiam', 'roma')              |     6
('epistula', 'tempus')         |     6
('ne', 'novus')                |     6
('greek.expression', 'magis')  |     6
('ago', 'littera')             |     6
('greek.expression', 'littera') |     6
('do', 'itaque')               |     6
('quam', 'tum')                |     6
('dico', 'venio')              |     6
('eo', 'nunc')                 |     6
('magnus', 'multus')           |     6
('audio', 'modo')              |     6
('comitium', 'habeo')          |     6
('neque', 'possum')            |     6
('non', 'teneo')               |     6
('autem', 'greek.expression')  |     6
('neque', 'tam')               |     6
('magnus', 'quam')             |     6
('credo', 'facio')             |     6
('scribo', 'summus')           |     6
('amo', 'profecto')            |     6
('addo', 'etiam')              |     6
('non', 'nosco')               |     6
('autem', 'dies')              |     6
('scribo', 'varro')            |     6
('alter', 'quam')              |     6
('iter', 'totus')              |     6
('curo', 'do')                 |     6
('affero', 'enim')             |     6
('mitto', 'venio')             |     6
('athenae', 'venio')           |     6
('miser', 'non')               |     6
('quidem', 'tamen')            |     6
('dico', 'scio')               |     6
('dies', 'proficiscor')        |     6
('ago', 'ubi')                 |     6
('spero', 'tamen')             |     6
('eo', 'scribo')               |     6
('exspecto', 'spes')           |     6
('scribo', 'ubi')              |     6
('audio', 'etiam')             |     6
('ut', 'utor')                 |     6
('diligenter', 'littera')      |     6
('littera', 'quidem')          |     6
('diligenter', 'do')           |     6
('modus', 'res')               |     6
('magnus', 'spes')             |     6
('consul', 'scribo')           |     6
('dies', 'habeo')              |     6
('consul', 'consultum')        |     6
('exspecto', 'venio')          |     6
('nescio', 'non')              |     6
('littera', 'modus')           |     6
('intellego', 'non')           |     6
('igitur', 'non')              |     6
('littera', 'philotimus')      |     6
('greek.expression', 'pompeius') |     6
('etiam', 'rogo')              |     6
('greek.expression', 'supersum') |     6
('greek.expression', 'valde')  |     6
('laodicea', 'venio')          |     6
('exercitus', 'habeo')         |     6
('philotimus', 'scribo')       |     6
('brutus', 'ne')               |     6
('do', 'puer')                 |     6
('audio', 'volo')              |     6
('quam', 'vinco')              |     6
('mitto', 'neque')             |     6
('bellum', 'pax')              |     6
('ita', 'magnus')              |     5
('iam', 'teneo')               |     5
('caedes', 'incendium')        |     5
('consilium', 'publicus')      |     5
('auctoritas', 'ne')           |     5
('publicus', 'tamen')          |     5
('res', 'sententia')           |     5
('rogo', 'sententia')          |     5
('diu', 'possum')              |     5
('comitium', 'res')            |     5
('deus', 'immortalis')         |     5
('facio', 'iam')               |     5
('venio', 'vero')              |     5
('dico', 'loquor')             |     5
('postulo', 'res')             |     5
('dico', 'iam')                |     5
('iam', 'proficiscor')         |     5
('multo', 'res')               |     5
('homo', 'res')                |     5
('domus', 'possum')            |     5
('aes', 'alienus')             |     5
('etiam', 'venio')             |     5
('ne', 'vehementer')           |     5
('possum', 'sano')             |     5
('exspecto', 'possum')         |     5
('quo', 'venio')               |     5
('quam', 'vereor')             |     5
('capio', 'possum')            |     5
('copia', 'magnus')            |     5
('habeo', 'plebs')             |     5
('novus', 'res')               |     5
('homo', 'ut')                 |     5
('alienus', 'non')             |     5
('autem', 'facio')             |     5
('facio', 'tempus')            |     5
('littera', 'tempus')          |     5
('quintus', 'video')           |     5
('iuro', 'non')                |     5
('exspecto', 'puto')           |     5
('caesar', 'scribo')           |     5
('amicus', 'video')            |     5
('fio', 'video')               |     5
('caesar', 'video')            |     5
('caesar', 'enim')             |     5
