================================================================================
CICERO FULL CORPUS ANALYSIS (Stanza Lemmatization)
Source: Latin Library (Full Text)
Method: Stanza NLP (UD Model), Window Size: 5, Stopwords Removed
================================================================================

Total Files Processed: 138
Total Lemmas: 632835
Unique Pairs Found: 1542989

TOP COLLOCATIONS by PMI (Min count: {min_occurrence})
--------------------------------------------------------------------------------
Collocation                              | PMI        | Count
('ternus', 'triticum')                   |       8.57 |     6
('quinctius', 'vadimonium')              |       8.57 |     7
('possideo', 'quinco')                   |       8.57 |     7
('egoro', 'sanctus')                     |       8.57 |    12
('demitto', 'humilis')                   |       8.56 |     7
('africa', 'ligarius')                   |       8.55 |     7
('clementia', 'mansuetudo')              |       8.55 |     5
('aperio', 'involuo')                    |       8.55 |     5
('iubeo', 'salvo')                       |       8.54 |     5
('populusquus', 'senatum')               |       8.54 |     9
('arpino', 'quinta')                     |       8.54 |     6
('k.us', 'octicus')                      |       8.53 |     5
('actio', 'secvnda')                     |       8.53 |     5
('argentum', 'vestima')                  |       8.52 |     6
('grandus', 'natus')                     |       8.51 |     7
('dormio', 'vigilo')                     |       8.51 |    10
('mamertio', 'remitto')                  |       8.51 |     7
('adhibuo', 'fatum')                     |       8.51 |     8
('mina', 'terror')                       |       8.51 |     5
('nus', 'tertius')                       |       8.50 |     6
('adtribuo', 'persona')                  |       8.50 |    16
('marcus', 'quinto')                     |       8.50 |    29
('aether', 'stella')                     |       8.49 |     5
('adfero', 'agnus')                      |       8.49 |     5
('flavium', 'roscius')                   |       8.49 |     9
('auspicor', 'condo')                    |       8.48 |     6
('propraes', 'unus')                     |       8.48 |     6
('circias', 'kanticus')                  |       8.48 |    10
('maia', 'nona')                         |       8.48 |    17
('balotheus', 'sanctus')                 |       8.47 |     5
('denarius', 'triticum')                 |       8.47 |     5
('aedilus', 'damen')                     |       8.47 |     8
('hux', 'illuc')                         |       8.47 |     5
('piro', 'securus')                      |       8.47 |     6
('hes', 'tutela')                        |       8.47 |     5
